question,answers
Which ‘A’ means in the open air?,"{'answer_start': array([3]), 'text': array(['alfresco'], dtype=object)}"
What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,"{'answer_start': array([1100]), 'text': array(['mallard'], dtype=object)}"
What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,"{'answer_start': array([138]), 'text': array(['mallard'], dtype=object)}"
What is the name of the steam locomotive which set the world speed record in July 1938 by reaching 126 mph on the East Coast Mainline  in England?,"{'answer_start': array([143]), 'text': array(['mallard'], dtype=object)}"
"A mahout is a person who works, tends and rides which animal?","{'answer_start': array([503]), 'text': array(['elephants'], dtype=object)}"
"A mahout is a person who works, tends and rides which animal?","{'answer_start': array([491]), 'text': array(['elephants'], dtype=object)}"
Which British actress played Valerie in the 1997 film ‘Nil By Mouth’?,"{'answer_start': array([828]), 'text': array(['kathy burke'], dtype=object)}"
Which British actress played Valerie in the 1997 film ‘Nil By Mouth’?,"{'answer_start': array([195]), 'text': array(['kathy burke'], dtype=object)}"
What type of creature is a tanager?,"{'answer_start': array([67]), 'text': array(['bird'], dtype=object)}"
What type of creature is a tanager?,"{'answer_start': array([272]), 'text': array(['bird'], dtype=object)}"
In which James Bond film does actress Jane Seymour play Solitaire?,"{'answer_start': array([308]), 'text': array(['live and let die'], dtype=object)}"
What was the name of the Cunard ocean liner which was launched on 20th September 1906?,"{'answer_start': array([327]), 'text': array(['mauretania'], dtype=object)}"
What was the name of the Cunard ocean liner which was launched on 20th September 1906?,"{'answer_start': array([395]), 'text': array(['mauretania'], dtype=object)}"
What was the name of the Cunard ocean liner which was launched on 20th September 1906?,"{'answer_start': array([50]), 'text': array(['mauretania'], dtype=object)}"
"In the novel ‘Wuthering Heights’ by Emily Bronte, Catherine’s father found Heathcliffe on the streets of which English city?","{'answer_start': array([497]), 'text': array(['liverpool'], dtype=object)}"
In which part of the human body is the limbic system?,"{'answer_start': array([134]), 'text': array(['brain'], dtype=object)}"
In which part of the human body is the limbic system?,"{'answer_start': array([1550]), 'text': array(['brain'], dtype=object)}"
The Koppen System is a classification system for what?,"{'answer_start': array([981]), 'text': array(['climates'], dtype=object)}"
The Koppen System is a classification system for what?,"{'answer_start': array([990]), 'text': array(['climates'], dtype=object)}"
Which British singer played Jareth the Goblin King in the 1986 film ‘Labyrinth’?,"{'answer_start': array([573]), 'text': array(['david bowie'], dtype=object)}"
Which British singer played Jareth the Goblin King in the 1986 film ‘Labyrinth’?,"{'answer_start': array([962]), 'text': array(['david bowie'], dtype=object)}"
How many US states are prefixed by the word New?,"{'answer_start': array([118]), 'text': array(['4'], dtype=object)}"
The Strawberry Museum in the town of Wepion is in which country?,"{'answer_start': array([173]), 'text': array(['belgium'], dtype=object)}"
The Strawberry Museum in the town of Wepion is in which country?,"{'answer_start': array([267]), 'text': array(['belgium'], dtype=object)}"
Whose last words were Et Tu Brute according to Shakespeare?,"{'answer_start': array([1140]), 'text': array(['caesar'], dtype=object)}"
Whose last words were Et Tu Brute according to Shakespeare?,"{'answer_start': array([43]), 'text': array(['caesar'], dtype=object)}"
Whose last words were Et Tu Brute according to Shakespeare?,"{'answer_start': array([553]), 'text': array(['caesar'], dtype=object)}"
How many medals did the United States win at the 2010 Winter Olympics?,"{'answer_start': array([1239]), 'text': array(['37'], dtype=object)}"
"In medicine, chromotopsia is the term for abnormally coloured what?","{'answer_start': array([942]), 'text': array(['vision'], dtype=object)}"
"In medicine, chromotopsia is the term for abnormally coloured what?","{'answer_start': array([1054]), 'text': array(['vision'], dtype=object)}"
Which Asian country hosted its first Formula One Grand Prix motor race in October 2010?,"{'answer_start': array([702]), 'text': array(['south korean'], dtype=object)}"
Which Asian country hosted its first Formula One Grand Prix motor race in October 2010?,"{'answer_start': array([1200]), 'text': array(['south korean'], dtype=object)}"
‘The Crafty Cockney’ was the nickname of which British darts player?,"{'answer_start': array([394]), 'text': array(['eric bristow'], dtype=object)}"
Who was the first Hanover King of England?,"{'answer_start': array([917]), 'text': array(['king george i'], dtype=object)}"
Which British monarch famously said ‘I don’t wish to open windows into men’s souls’?,"{'answer_start': array([27]), 'text': array(['elizabeth i'], dtype=object)}"
Which British monarch famously said ‘I don’t wish to open windows into men’s souls’?,"{'answer_start': array([689]), 'text': array(['elizabeth i'], dtype=object)}"
Which British monarch famously said ‘I don’t wish to open windows into men’s souls’?,"{'answer_start': array([1118]), 'text': array(['elizabeth i'], dtype=object)}"
"Isoprene, Butyl and Nitrile are all types of which substance?","{'answer_start': array([634]), 'text': array(['rubber'], dtype=object)}"
"Isoprene, Butyl and Nitrile are all types of which substance?","{'answer_start': array([374]), 'text': array(['rubber'], dtype=object)}"
"Isoprene, Butyl and Nitrile are all types of which substance?","{'answer_start': array([31]), 'text': array(['rubber'], dtype=object)}"
Which King of England sold Dunkirk to Louis XIV of France?,"{'answer_start': array([106]), 'text': array(['charles ii'], dtype=object)}"
Which King of England sold Dunkirk to Louis XIV of France?,"{'answer_start': array([1163]), 'text': array(['charles ii'], dtype=object)}"
The United Nations University is based in which Asian city?,"{'answer_start': array([150]), 'text': array(['tokyo'], dtype=object)}"
The United Nations University is based in which Asian city?,"{'answer_start': array([1032]), 'text': array(['tokyo'], dtype=object)}"
What type of animal is a dik-dik?,"{'answer_start': array([1131]), 'text': array(['antelopes'], dtype=object)}"
What type of animal is a dik-dik?,"{'answer_start': array([1153]), 'text': array(['antelopes'], dtype=object)}"
What type of animal is a dik-dik?,"{'answer_start': array([483]), 'text': array(['antelopes'], dtype=object)}"
What type of creature is a bufflehead?,"{'answer_start': array([1158]), 'text': array(['duck'], dtype=object)}"
"In computers, the X-Y Position Indicator for a Display System is now known as what?","{'answer_start': array([453]), 'text': array(['cursor'], dtype=object)}"
Taka is the basic monetary unit of which country?,"{'answer_start': array([930]), 'text': array(['bangladesh'], dtype=object)}"
Taka is the basic monetary unit of which country?,"{'answer_start': array([202]), 'text': array(['bangladesh'], dtype=object)}"
Taka is the basic monetary unit of which country?,"{'answer_start': array([299]), 'text': array(['bangladesh'], dtype=object)}"
Taka is the basic monetary unit of which country?,"{'answer_start': array([817]), 'text': array(['bangladesh'], dtype=object)}"
‘Lofsongur’ is the national anthem of which country?,"{'answer_start': array([1091]), 'text': array(['iceland'], dtype=object)}"
‘Lofsongur’ is the national anthem of which country?,"{'answer_start': array([649]), 'text': array(['iceland'], dtype=object)}"
‘Lofsongur’ is the national anthem of which country?,"{'answer_start': array([844]), 'text': array(['iceland'], dtype=object)}"
The Hotel Matignon is the official residence of the Prime Minister of which European country?,"{'answer_start': array([447]), 'text': array(['france'], dtype=object)}"
The 1950’s Mau Mau uprising was against the British occupation of which country?,"{'answer_start': array([424]), 'text': array(['kenya'], dtype=object)}"
The 1950’s Mau Mau uprising was against the British occupation of which country?,"{'answer_start': array([178]), 'text': array(['kenya'], dtype=object)}"
The 1950’s Mau Mau uprising was against the British occupation of which country?,"{'answer_start': array([362]), 'text': array(['kenya'], dtype=object)}"
Wanlockhead is the highest village in which European country?,"{'answer_start': array([279]), 'text': array(['scotland'], dtype=object)}"
Wanlockhead is the highest village in which European country?,"{'answer_start': array([188]), 'text': array(['scotland'], dtype=object)}"
Wanlockhead is the highest village in which European country?,"{'answer_start': array([1295]), 'text': array(['scotland'], dtype=object)}"
What was the middle name of US actor James Dean?,"{'answer_start': array([28]), 'text': array(['byron'], dtype=object)}"
"Bedloe’s Island in New York Harbour, is the former name of which island?","{'answer_start': array([821]), 'text': array(['bedloe'], dtype=object)}"
"Bedloe’s Island in New York Harbour, is the former name of which island?","{'answer_start': array([1392]), 'text': array(['bedloe'], dtype=object)}"
"Bedloe’s Island in New York Harbour, is the former name of which island?","{'answer_start': array([163]), 'text': array(['bedloe'], dtype=object)}"
Which famous jewellers makes the Super Bowl Trophy?,"{'answer_start': array([131]), 'text': array(['tiffany and co'], dtype=object)}"
Which famous jewellers makes the Super Bowl Trophy?,"{'answer_start': array([298]), 'text': array(['tiffany and co'], dtype=object)}"
Which famous jewellers makes the Super Bowl Trophy?,"{'answer_start': array([298]), 'text': array(['tiffany and co'], dtype=object)}"
"In humans, a hemispherectomy is the removal of half of the what?","{'answer_start': array([929]), 'text': array(['brain'], dtype=object)}"
"In humans, a hemispherectomy is the removal of half of the what?","{'answer_start': array([103]), 'text': array(['brain'], dtype=object)}"
"In humans, a hemispherectomy is the removal of half of the what?","{'answer_start': array([561]), 'text': array(['brain'], dtype=object)}"
In which New York borough would you find Hell’s Kitchen?,"{'answer_start': array([579]), 'text': array(['manhattan'], dtype=object)}"
In which New York borough would you find Hell’s Kitchen?,"{'answer_start': array([463]), 'text': array(['manhattan'], dtype=object)}"
In which year did Margaret Thatcher become British Prime Minister?,"{'answer_start': array([290]), 'text': array(['1979'], dtype=object)}"
In which year did Margaret Thatcher become British Prime Minister?,"{'answer_start': array([1495]), 'text': array(['1979'], dtype=object)}"
"Although he never won an Oscar for best director, one of Hitchcock's films did win an Oscar for best picture. What was the film?","{'answer_start': array([90]), 'text': array(['rebecca'], dtype=object)}"
"In Roman mythology, what was the name of the brother slain by Romulus?","{'answer_start': array([186]), 'text': array(['romulus and remus'], dtype=object)}"
"In Roman mythology, what was the name of the brother slain by Romulus?","{'answer_start': array([658]), 'text': array(['romulus and remus'], dtype=object)}"
Singer and musician Bono called which venue ‘Rock and roll’s great cathedral’?,"{'answer_start': array([147]), 'text': array(['madison square garden'], dtype=object)}"
"Following that year's April Budget, Alderman Sir Cuthbert Ackroyd, who later became Lord Mayor of London, bought the first what on 1 November 1956?","{'answer_start': array([1013]), 'text': array(['ernie'], dtype=object)}"
"Following that year's April Budget, Alderman Sir Cuthbert Ackroyd, who later became Lord Mayor of London, bought the first what on 1 November 1956?","{'answer_start': array([206]), 'text': array(['ernie'], dtype=object)}"
Who wrote the 1963 novel ‘The Spy Who Came in From the Cold’?,"{'answer_start': array([124]), 'text': array(['le carré'], dtype=object)}"
Who wrote the 1963 novel ‘The Spy Who Came in From the Cold’?,"{'answer_start': array([857]), 'text': array(['le carré'], dtype=object)}"
What colour is the cross on the national flag of Denmark?,"{'answer_start': array([459]), 'text': array(['white'], dtype=object)}"
What colour is the cross on the national flag of Denmark?,"{'answer_start': array([218]), 'text': array(['white'], dtype=object)}"
What colour is the cross on the national flag of Denmark?,"{'answer_start': array([434]), 'text': array(['white'], dtype=object)}"
"In Greek mythology, what was the name of the nymph who fell in love with Narcissus, but who was said to have pined away when her love was not returned, leaving only her voice?","{'answer_start': array([588]), 'text': array(['echo'], dtype=object)}"
"In Greek mythology, what was the name of the nymph who fell in love with Narcissus, but who was said to have pined away when her love was not returned, leaving only her voice?","{'answer_start': array([389]), 'text': array(['echo'], dtype=object)}"
"In Greek mythology, what was the name of the nymph who fell in love with Narcissus, but who was said to have pined away when her love was not returned, leaving only her voice?","{'answer_start': array([840]), 'text': array(['echo'], dtype=object)}"
In which state of the US is it illegal to mis-pronounce the name of the state?,"{'answer_start': array([496]), 'text': array(['arkansas'], dtype=object)}"
In which state of the US is it illegal to mis-pronounce the name of the state?,"{'answer_start': array([427]), 'text': array(['arkansas'], dtype=object)}"
In which state of the US is it illegal to mis-pronounce the name of the state?,"{'answer_start': array([56]), 'text': array(['arkansas'], dtype=object)}"
"Which fruit did Nell Gwynn, mistress of King Charles II, sell in Drury Lane?","{'answer_start': array([1168]), 'text': array(['oranges'], dtype=object)}"
The Battle of Vimy Ridge took place in which country during World War l?,"{'answer_start': array([311]), 'text': array(['france'], dtype=object)}"
The Battle of Vimy Ridge took place in which country during World War l?,"{'answer_start': array([947]), 'text': array(['france'], dtype=object)}"
The Battle of Vimy Ridge took place in which country during World War l?,"{'answer_start': array([367]), 'text': array(['france'], dtype=object)}"
What is the title of the 1996 Oscar-winning documentary about the Muhammad Ali and George Foreman 1974 ‘Rumble in the Jungle’ fight in Zaire?,"{'answer_start': array([101]), 'text': array(['when we were kings'], dtype=object)}"
The ports of Puck and Jastarnia are in which European country?,"{'answer_start': array([506]), 'text': array(['poland'], dtype=object)}"
The ports of Puck and Jastarnia are in which European country?,"{'answer_start': array([1070]), 'text': array(['poland'], dtype=object)}"
The ports of Puck and Jastarnia are in which European country?,"{'answer_start': array([32]), 'text': array(['poland'], dtype=object)}"
Rarely is the question asked: Is our children learning?,"{'answer_start': array([134]), 'text': array(['george w'], dtype=object)}"
Rarely is the question asked: Is our children learning?,"{'answer_start': array([726]), 'text': array(['george w'], dtype=object)}"
Rarely is the question asked: Is our children learning?,"{'answer_start': array([654]), 'text': array(['george w'], dtype=object)}"
A saluki is which type of animal?,"{'answer_start': array([947]), 'text': array(['dogs'], dtype=object)}"
Amr Shabana from Egypt is famous for playing which sport?,"{'answer_start': array([880]), 'text': array(['squash'], dtype=object)}"
Amr Shabana from Egypt is famous for playing which sport?,"{'answer_start': array([935]), 'text': array(['squash'], dtype=object)}"
Amr Shabana from Egypt is famous for playing which sport?,"{'answer_start': array([45]), 'text': array(['squash'], dtype=object)}"
Which British politician became Member of Parliament for Epping in October 1924?,"{'answer_start': array([99]), 'text': array(['churchill'], dtype=object)}"
Which British politician became Member of Parliament for Epping in October 1924?,"{'answer_start': array([336]), 'text': array(['churchill'], dtype=object)}"
Which British politician became Member of Parliament for Epping in October 1924?,"{'answer_start': array([496]), 'text': array(['churchill'], dtype=object)}"
"Composite, Shield and Cinder Cone are all types of what?","{'answer_start': array([215]), 'text': array(['volcanoes'], dtype=object)}"
"Composite, Shield and Cinder Cone are all types of what?","{'answer_start': array([757]), 'text': array(['volcanoes'], dtype=object)}"
What was is the name of Penelope Pitstop’s car in the children’s tv cartoon series ‘Wacky Races’?,"{'answer_start': array([460]), 'text': array(['compact pussycat'], dtype=object)}"
Which Flemish Baroque painter’s Antwerp home is now a museum?,"{'answer_start': array([752]), 'text': array(['rubenesque'], dtype=object)}"
Which famous racehorse won Australia’s Melbourne Cup in 1930?,"{'answer_start': array([1269]), 'text': array(['phar lap'], dtype=object)}"
Which famous racehorse won Australia’s Melbourne Cup in 1930?,"{'answer_start': array([701]), 'text': array(['phar lap'], dtype=object)}"
‘Back to Bedlam’ was the debut album for which British singer?,"{'answer_start': array([592]), 'text': array(['james blunt'], dtype=object)}"
‘Back to Bedlam’ was the debut album for which British singer?,"{'answer_start': array([192]), 'text': array(['james blunt'], dtype=object)}"
‘Back to Bedlam’ was the debut album for which British singer?,"{'answer_start': array([122]), 'text': array(['james blunt'], dtype=object)}"
Which tennis player was known as the Rockhampton Rocket?,"{'answer_start': array([1312]), 'text': array(['rod laver'], dtype=object)}"
Which tennis player was known as the Rockhampton Rocket?,"{'answer_start': array([636]), 'text': array(['rod laver'], dtype=object)}"
Which tennis player was known as the Rockhampton Rocket?,"{'answer_start': array([263]), 'text': array(['rod laver'], dtype=object)}"
Sadler’s Wells Ballet and the Vic-Wells Ballet were the previous names of which British ballet company?,"{'answer_start': array([657]), 'text': array(['royal ballet'], dtype=object)}"
Sadler’s Wells Ballet and the Vic-Wells Ballet were the previous names of which British ballet company?,"{'answer_start': array([909]), 'text': array(['royal ballet'], dtype=object)}"
What is the US state capital of Louisiana?,"{'answer_start': array([782]), 'text': array(['baton rouge'], dtype=object)}"
What is the US state capital of Louisiana?,"{'answer_start': array([579]), 'text': array(['baton rouge'], dtype=object)}"
What is the US state capital of Louisiana?,"{'answer_start': array([749]), 'text': array(['baton rouge'], dtype=object)}"
What are the first names of art duo Proesch and Passmore?,"{'answer_start': array([132]), 'text': array(['gilbert proesch'], dtype=object)}"
Which creature features on the label of a Bacardi rum bottle?,"{'answer_start': array([751]), 'text': array(['bat'], dtype=object)}"
How many pounds are in a UK (long) ton?,"{'answer_start': array([1095]), 'text': array(['2240'], dtype=object)}"
How many pounds are in a UK (long) ton?,"{'answer_start': array([1180]), 'text': array(['2240'], dtype=object)}"
Who was the illustrator for most of Roald Dahl’s stories for children?,"{'answer_start': array([906]), 'text': array(['quentin blake'], dtype=object)}"
Who was the illustrator for most of Roald Dahl’s stories for children?,"{'answer_start': array([47]), 'text': array(['quentin blake'], dtype=object)}"
"In which year was the storming of the Bastille, which started the French Revolution?","{'answer_start': array([628]), 'text': array(['1789'], dtype=object)}"
"Who was the third President of the USA, following on from George Washington and John Adams was also famed for his numerous inventions?","{'answer_start': array([1167]), 'text': array(['thomas jefferson'], dtype=object)}"
"Who was the third President of the USA, following on from George Washington and John Adams was also famed for his numerous inventions?","{'answer_start': array([1214]), 'text': array(['thomas jefferson'], dtype=object)}"
The fictional characters William Dobbin and Rawdon Crawley appear in which novel?,"{'answer_start': array([20]), 'text': array(['vanity fair'], dtype=object)}"
Which British Prime Minister said of Downing Street ‘One of the most precious jewels in the national heritage’?,"{'answer_start': array([816]), 'text': array(['margaret thatcher'], dtype=object)}"
Which British Prime Minister said of Downing Street ‘One of the most precious jewels in the national heritage’?,"{'answer_start': array([500]), 'text': array(['margaret thatcher'], dtype=object)}"
"Yellow-pine, Uinta and Lodgepole are all types of which animal?","{'answer_start': array([183]), 'text': array(['tamias'], dtype=object)}"
Who does the commentary in the UK tv programme ‘Come Dine With Me’?,"{'answer_start': array([1080]), 'text': array(['dave lamb'], dtype=object)}"
Who does the commentary in the UK tv programme ‘Come Dine With Me’?,"{'answer_start': array([457]), 'text': array(['dave lamb'], dtype=object)}"
Rodolfo and Mimi are the main characters in which opera by Giacomo Puccini?,"{'answer_start': array([178]), 'text': array(['la bohème'], dtype=object)}"
Rodolfo and Mimi are the main characters in which opera by Giacomo Puccini?,"{'answer_start': array([37]), 'text': array(['la bohème'], dtype=object)}"
Rodolfo and Mimi are the main characters in which opera by Giacomo Puccini?,"{'answer_start': array([1264]), 'text': array(['la bohème'], dtype=object)}"
The 1958 film ‘Gigi’ was based on the novel by which French author?,"{'answer_start': array([866]), 'text': array(['colette'], dtype=object)}"
The 1958 film ‘Gigi’ was based on the novel by which French author?,"{'answer_start': array([336]), 'text': array(['colette'], dtype=object)}"
Which national team beat Hungary 4-2 to win the 1938 FIFA World Cup?,"{'answer_start': array([484]), 'text': array(['italy'], dtype=object)}"
Which national team beat Hungary 4-2 to win the 1938 FIFA World Cup?,"{'answer_start': array([730]), 'text': array(['italy'], dtype=object)}"
Which national team beat Hungary 4-2 to win the 1938 FIFA World Cup?,"{'answer_start': array([1525]), 'text': array(['italy'], dtype=object)}"
"Newspapers come is various sizes, broadsheet being the largest, and tabloid being smaller, but what name is given to the smallest size.","{'answer_start': array([68]), 'text': array(['compact'], dtype=object)}"
"Newspapers come is various sizes, broadsheet being the largest, and tabloid being smaller, but what name is given to the smallest size.","{'answer_start': array([1274]), 'text': array(['compact'], dtype=object)}"
"Newspapers come is various sizes, broadsheet being the largest, and tabloid being smaller, but what name is given to the smallest size.","{'answer_start': array([142]), 'text': array(['compact'], dtype=object)}"
What is the name of the iron hook which is attached to the pole used by fisherman to land a heavy fish?,"{'answer_start': array([306]), 'text': array(['gaff'], dtype=object)}"
What is the name of the iron hook which is attached to the pole used by fisherman to land a heavy fish?,"{'answer_start': array([469]), 'text': array(['gaff'], dtype=object)}"
"Who played the role of Caligula in the 1976 UK tv series ‘I, Claudius’?","{'answer_start': array([379]), 'text': array(['john hurt'], dtype=object)}"
"Who played the role of Caligula in the 1976 UK tv series ‘I, Claudius’?","{'answer_start': array([41]), 'text': array(['john hurt'], dtype=object)}"
The Euro is divided into how many cents?,"{'answer_start': array([342]), 'text': array(['100'], dtype=object)}"
The Euro is divided into how many cents?,"{'answer_start': array([298]), 'text': array(['100'], dtype=object)}"
A creance is the name of the long fine cord used in which sport?,"{'answer_start': array([918]), 'text': array(['falconry'], dtype=object)}"
A creance is the name of the long fine cord used in which sport?,"{'answer_start': array([528]), 'text': array(['falconry'], dtype=object)}"
A creance is the name of the long fine cord used in which sport?,"{'answer_start': array([1356]), 'text': array(['falconry'], dtype=object)}"
What is the name of the Jewish spring festival which celebrates the exodus of the Israelites from Egypt?,"{'answer_start': array([174]), 'text': array(['passover'], dtype=object)}"
What is the name of the Jewish spring festival which celebrates the exodus of the Israelites from Egypt?,"{'answer_start': array([1281]), 'text': array(['passover'], dtype=object)}"
The Oroville Dam is in which US state?,"{'answer_start': array([294]), 'text': array(['state of california'], dtype=object)}"
The Oroville Dam is in which US state?,"{'answer_start': array([884]), 'text': array(['state of california'], dtype=object)}"
Umberto ll was the last king of which European country?,"{'answer_start': array([87]), 'text': array(['italy'], dtype=object)}"
Umberto ll was the last king of which European country?,"{'answer_start': array([114]), 'text': array(['italy'], dtype=object)}"
Umberto ll was the last king of which European country?,"{'answer_start': array([31]), 'text': array(['italy'], dtype=object)}"
Hidrosis is the medical term for which bodily function?,"{'answer_start': array([1471]), 'text': array(['sweat'], dtype=object)}"
Hidrosis is the medical term for which bodily function?,"{'answer_start': array([1245]), 'text': array(['sweat'], dtype=object)}"
The town of Honiton in Devon is famous for producing what?,"{'answer_start': array([1076]), 'text': array(['lace making'], dtype=object)}"
The town of Honiton in Devon is famous for producing what?,"{'answer_start': array([515]), 'text': array(['lace making'], dtype=object)}"
‘The Night of the Long Knives’ refers to which leader eliminating many of his political enemies?,"{'answer_start': array([662]), 'text': array(['hitler'], dtype=object)}"
‘The Night of the Long Knives’ refers to which leader eliminating many of his political enemies?,"{'answer_start': array([207]), 'text': array(['hitler'], dtype=object)}"
‘The Night of the Long Knives’ refers to which leader eliminating many of his political enemies?,"{'answer_start': array([529]), 'text': array(['hitler'], dtype=object)}"
Which country was invaded by Iraq in 1990?,"{'answer_start': array([455]), 'text': array(['state of kuwait'], dtype=object)}"
Apimania is an obsession with which creatures?,"{'answer_start': array([726]), 'text': array(['bees'], dtype=object)}"
‘The Weeping Woman’ is the work of which artist?,"{'answer_start': array([126]), 'text': array(['pablo picasso'], dtype=object)}"
‘The Weeping Woman’ is the work of which artist?,"{'answer_start': array([1324]), 'text': array(['pablo picasso'], dtype=object)}"
How many hundredweight are in a UK ton?,"{'answer_start': array([241]), 'text': array(['20'], dtype=object)}"
Which US gangster was released from Alcatraz prison in November 1939?,"{'answer_start': array([249]), 'text': array(['al capone'], dtype=object)}"
In the NATO phonetic alphabet which word represents the letter ‘C’?,"{'answer_start': array([1189]), 'text': array(['charlie'], dtype=object)}"
In the NATO phonetic alphabet which word represents the letter ‘C’?,"{'answer_start': array([1013]), 'text': array(['charlie'], dtype=object)}"
Which breed of dog is Marley in the 2008 film ‘Marley and Me’?,"{'answer_start': array([321]), 'text': array(['labrador retriever'], dtype=object)}"
Which breed of dog is Marley in the 2008 film ‘Marley and Me’?,"{'answer_start': array([858]), 'text': array(['labrador retriever'], dtype=object)}"
‘Giovedi’ is the Italian word for which day of the week?,"{'answer_start': array([571]), 'text': array(['thursday'], dtype=object)}"
‘Giovedi’ is the Italian word for which day of the week?,"{'answer_start': array([392]), 'text': array(['thursday'], dtype=object)}"
Nguyen Tan Dung became Prime Minister of which country in June 2006?,"{'answer_start': array([610]), 'text': array(['vietnam'], dtype=object)}"
Nguyen Tan Dung became Prime Minister of which country in June 2006?,"{'answer_start': array([276]), 'text': array(['vietnam'], dtype=object)}"
Nguyen Tan Dung became Prime Minister of which country in June 2006?,"{'answer_start': array([1132]), 'text': array(['vietnam'], dtype=object)}"
Sandygate Road football and cricket stadium is in which English city?,"{'answer_start': array([136]), 'text': array(['sheffield'], dtype=object)}"
Sandygate Road football and cricket stadium is in which English city?,"{'answer_start': array([744]), 'text': array(['sheffield'], dtype=object)}"
Sandygate Road football and cricket stadium is in which English city?,"{'answer_start': array([875]), 'text': array(['sheffield'], dtype=object)}"
"In the game of Bingo, ‘Get up and run’ represents which number?","{'answer_start': array([707]), 'text': array(['31'], dtype=object)}"
Scatology is the scientific study of what?,"{'answer_start': array([685]), 'text': array(['excrement'], dtype=object)}"
Scatology is the scientific study of what?,"{'answer_start': array([285]), 'text': array(['excrement'], dtype=object)}"
Amarelo is Portuguese for which colour?,"{'answer_start': array([1056]), 'text': array(['yellow'], dtype=object)}"
Amarelo is Portuguese for which colour?,"{'answer_start': array([605]), 'text': array(['yellow'], dtype=object)}"
Amarelo is Portuguese for which colour?,"{'answer_start': array([201]), 'text': array(['yellow'], dtype=object)}"
Which European country hosted the 1956 Winter Olympic Games?,"{'answer_start': array([1238]), 'text': array(['italy'], dtype=object)}"
Which European country hosted the 1956 Winter Olympic Games?,"{'answer_start': array([596]), 'text': array(['italy'], dtype=object)}"
"In Greek mythology, Amphitrite, queen of the sea, was the wife of which god?","{'answer_start': array([955]), 'text': array(['poseidon'], dtype=object)}"
"In Greek mythology, Amphitrite, queen of the sea, was the wife of which god?","{'answer_start': array([235]), 'text': array(['poseidon'], dtype=object)}"
"In Greek mythology, Amphitrite, queen of the sea, was the wife of which god?","{'answer_start': array([145]), 'text': array(['poseidon'], dtype=object)}"
How many stars are on the national flag of Liberia?,"{'answer_start': array([872]), 'text': array(['1'], dtype=object)}"
How many stars are on the national flag of Liberia?,"{'answer_start': array([112]), 'text': array(['1'], dtype=object)}"
The OK Corral is in which US town?,"{'answer_start': array([875]), 'text': array(['tombstone'], dtype=object)}"
The OK Corral is in which US town?,"{'answer_start': array([203]), 'text': array(['tombstone'], dtype=object)}"
The OK Corral is in which US town?,"{'answer_start': array([322]), 'text': array(['tombstone'], dtype=object)}"
"According to the Bible, who was the only apostle to witness the crucifixion of Jesus?","{'answer_start': array([982]), 'text': array(['john'], dtype=object)}"
In which European country is Lake Ree?,"{'answer_start': array([948]), 'text': array(['ireland'], dtype=object)}"
In which European country is Lake Ree?,"{'answer_start': array([772]), 'text': array(['ireland'], dtype=object)}"
Which member of the British royal family married on the 29th April 2011?,"{'answer_start': array([304]), 'text': array(['prince william'], dtype=object)}"
Which member of the British royal family married on the 29th April 2011?,"{'answer_start': array([1064]), 'text': array(['prince william'], dtype=object)}"
"What disease was Robert the Bruce, King of Scotland, said to have died of in 1329?","{'answer_start': array([699]), 'text': array(['leprosy'], dtype=object)}"
How many stars are on the national flag of New Zealand?,"{'answer_start': array([369]), 'text': array(['four'], dtype=object)}"
"Comedian, actor and director Melvin Kaminsky is better known by what name?","{'answer_start': array([590]), 'text': array(['melvin kaminsky'], dtype=object)}"
"Comedian, actor and director Melvin Kaminsky is better known by what name?","{'answer_start': array([409]), 'text': array(['melvin kaminsky'], dtype=object)}"
"Comedian, actor and director Melvin Kaminsky is better known by what name?","{'answer_start': array([735]), 'text': array(['melvin kaminsky'], dtype=object)}"
"Comedian, actor and director Melvin Kaminsky is better known by what name?","{'answer_start': array([253]), 'text': array(['melvin kaminsky'], dtype=object)}"
"In Greek mythology, who was the first wife of Aegeus?","{'answer_start': array([876]), 'text': array(['meta'], dtype=object)}"
"In Greek mythology, who was the first wife of Aegeus?","{'answer_start': array([963]), 'text': array(['meta'], dtype=object)}"
Which Italian fashion designer launched the first virtual online museum in December 2011?,"{'answer_start': array([73]), 'text': array(['valentino'], dtype=object)}"
Which Italian fashion designer launched the first virtual online museum in December 2011?,"{'answer_start': array([805]), 'text': array(['valentino'], dtype=object)}"
Which Italian fashion designer launched the first virtual online museum in December 2011?,"{'answer_start': array([140]), 'text': array(['valentino'], dtype=object)}"
‘Obey your thirst’ is the advertising slogan for which soft drink?,"{'answer_start': array([273]), 'text': array(['sprite'], dtype=object)}"
‘Obey your thirst’ is the advertising slogan for which soft drink?,"{'answer_start': array([302]), 'text': array(['sprite'], dtype=object)}"
‘Obey your thirst’ is the advertising slogan for which soft drink?,"{'answer_start': array([53]), 'text': array(['sprite'], dtype=object)}"
‘Mucke’ is the Serbo-Croatian name for which UK tv series?,"{'answer_start': array([64]), 'text': array(['only fools and horses'], dtype=object)}"
‘Mucke’ is the Serbo-Croatian name for which UK tv series?,"{'answer_start': array([102]), 'text': array(['only fools and horses'], dtype=object)}"
